series,c1,c2,T,split,name1,name2,fp_unifac_do,fp_cosmosac2010,fp_cosmosac_dsp,fp_Z0,fp_Z1,fp_Z0e,fp_Z0s,fp_Z0x,fp_hanna
je050327l.xml#10#T#253.2,QQONPFPTGQHPMA-UHFFFAOYSA-N,LCGLNKUTAGEVQW-UHFFFAOYSA-N,253.15,train,propene,methoxymethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je400837p.xml#2#T#253.2,RFCAUADVODFSLZ-UHFFFAOYSA-N,GTLACDSXYULKMZ-UHFFFAOYSA-N,253.15,train,chloropentafluoroethane,pentafluoroethane,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je7001539.xml#2#T#253.2,NNPPMTNAJDCUHE-UHFFFAOYSA-N,GTLACDSXYULKMZ-UHFFFAOYSA-N,253.15,train,2-methylpropane,"ethane, pentafluoro-",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2010.11.001.xml#2#T#255.0,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,LVGUZGTVOIAKKC-UHFFFAOYSA-N,255.0,train,n-propane,"ethane, 1,1,1,2-tetrafluoro-",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2006.09.017.xml#2#T#258.2,RWRIWBAIICGTTQ-UHFFFAOYSA-N,LVGUZGTVOIAKKC-UHFFFAOYSA-N,258.15,train,difluoromethane,"ethane, 1,1,1,2-tetrafluoro-",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je060184i.xml#6#T#263.2,YKYONYBAUNKHLG-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,263.15,train,propyl ethanoate,cyclohexane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2005.11.016.xml#6#T#263.2,OISVCGZHLKNMSJ-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,263.15,train,"2,6-dimethylpyridine",toluene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2010.10.022.xml#1#T#273.2,YKYONYBAUNKHLG-UHFFFAOYSA-N,CGHIBGNXEGJPQZ-UHFFFAOYSA-N,273.15,test_one,propyl ethanoate,1-hexyne,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je050317k.xml#19#T#273.2,NEHMKBQYUWJMIP-UHFFFAOYSA-N,BZHJMEDXRYGGRV-UHFFFAOYSA-N,273.15,test_one,chloromethane,chloroethene,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2013.03.020.xml#5#T#273.2,VMOWKUTXPNPTEN-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,273.15,train,"N,N-dimethylisopropylamine",water,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
