file,year,dataset,solute,solvent,solute_name,solvent_name,T,gamma_inf,ln_gamma_inf,method,has_sigma,split,pred_ln_gamma_inf
je200628n.xml,2011,9,AFFLGGQVNFXPEV-UHFFFAOYSA-N,PWGJDPKCLMLPJW-UHFFFAOYSA-N,1-decene,"1,8-diaminooctane",328.15,4.239,1.4443273923705,Chromatography,True,test_one,1.14634752046745
je200628n.xml,2011,9,AFFLGGQVNFXPEV-UHFFFAOYSA-N,PWGJDPKCLMLPJW-UHFFFAOYSA-N,1-decene,"1,8-diaminooctane",338.15,3.581,1.2756420910162956,Chromatography,True,test_one,1.123250982230589
je200628n.xml,2011,9,AFFLGGQVNFXPEV-UHFFFAOYSA-N,PWGJDPKCLMLPJW-UHFFFAOYSA-N,1-decene,"1,8-diaminooctane",343.15,3.331,1.2032725592115423,Chromatography,True,test_one,1.1118350892733933
je200628n.xml,2011,9,AFFLGGQVNFXPEV-UHFFFAOYSA-N,PWGJDPKCLMLPJW-UHFFFAOYSA-N,1-decene,"1,8-diaminooctane",348.15,3.142,1.1448595398334294,Chromatography,True,test_one,1.100508971113629
j.fluid.2005.08.018.xml,2005,12,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1-pentanol,water,273.35,121.0,4.795790545596741,headspace analysis,True,test_one,13.200786632053108
j.fluid.2005.08.018.xml,2005,12,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1-pentanol,water,283.15,156.0,5.049856007249537,headspace analysis,True,test_one,12.947232068381583
j.fluid.2005.08.018.xml,2005,12,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1-pentanol,water,293.15,184.0,5.214935757608986,headspace analysis,True,test_one,12.686730336102947
j.fluid.2005.08.018.xml,2005,13,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1-pentanol,water,303.15,203.0,5.313205979041787,inert gas stripping,True,test_one,12.425950913166394
j.fluid.2005.08.018.xml,2005,13,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1-pentanol,water,313.15,221.0,5.3981627015177525,inert gas stripping,True,test_one,12.166200391121205
j.fluid.2005.08.018.xml,2005,13,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1-pentanol,water,323.15,230.0,5.438079308923196,inert gas stripping,True,test_one,11.908588549192386
j.fluid.2005.08.018.xml,2005,14,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1-pentanol,water,333.15,221.0,5.3981627015177525,Rayleigh distillation,True,test_one,11.654045990114454
j.fluid.2005.08.018.xml,2005,14,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1-pentanol,water,343.15,206.0,5.327876168789581,Rayleigh distillation,True,test_one,11.403340338224828
j.fluid.2005.08.018.xml,2005,15,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1-pentanol,water,353.15,203.0,5.313205979041787,circulating still method,True,test_one,11.157091881318493
j.fluid.2005.08.018.xml,2005,15,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1-pentanol,water,363.15,181.0,5.198497031265826,circulating still method,True,test_one,10.915788944953544
j.fluid.2005.08.018.xml,2005,15,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1-pentanol,water,371.15,169.0,5.1298987149230735,circulating still method,True,test_one,10.726560547731685
j.fluid.2007.09.021.xml,2008,10,AMQJEAYHLZJPGS-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,1-pentanol,ethylbenzene,368.15,3.62,1.2864740258376797,Differential ebulliometry,True,test_one,0.6414845137176507
j.fluid.2007.09.021.xml,2008,10,AMQJEAYHLZJPGS-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,1-pentanol,ethylbenzene,378.15,3.19,1.1600209167967532,Differential ebulliometry,True,test_one,0.5981803404819446
j.fluid.2007.09.021.xml,2008,10,AMQJEAYHLZJPGS-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,1-pentanol,ethylbenzene,388.15,2.89,1.0612565021243408,Differential ebulliometry,True,test_one,0.5594722998548207
j.fluid.2007.09.021.xml,2008,10,AMQJEAYHLZJPGS-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,1-pentanol,ethylbenzene,398.15,2.57,0.9439058989071284,Differential ebulliometry,True,test_one,0.5247466329824545
j.fluid.2007.09.021.xml,2008,10,AMQJEAYHLZJPGS-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,1-pentanol,ethylbenzene,409.15,2.29,0.8285518175661483,Differential ebulliometry,True,test_one,0.49053047836958846
je901063s.xml,2010,1,AQIXEPGDORPWBJ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,3-pentanol,water,273.35,48.7,3.885679030088544,"inert gas stripping, headspace analysis in two variants - the classical and the relative, Rayleigh distillation, and circulation still",True,train,13.474258568768734
je901063s.xml,2010,1,AQIXEPGDORPWBJ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,3-pentanol,water,283.15,63.1,4.144720769547168,"inert gas stripping, headspace analysis in two variants - the classical and the relative, Rayleigh distillation, and circulation still",True,train,13.223256298143248
je901063s.xml,2010,1,AQIXEPGDORPWBJ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,3-pentanol,water,293.15,75.6,4.325456283185488,"inert gas stripping, headspace analysis in two variants - the classical and the relative, Rayleigh distillation, and circulation still",True,train,12.965257948666867
je901063s.xml,2010,1,AQIXEPGDORPWBJ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,3-pentanol,water,303.15,88.7,4.485259889315534,"inert gas stripping, headspace analysis in two variants - the classical and the relative, Rayleigh distillation, and circulation still",True,train,12.70686937346536
je901063s.xml,2010,1,AQIXEPGDORPWBJ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,3-pentanol,water,313.15,101.0,4.61512051684126,"inert gas stripping, headspace analysis in two variants - the classical and the relative, Rayleigh distillation, and circulation still",True,train,12.449387606930932
je901063s.xml,2010,1,AQIXEPGDORPWBJ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,3-pentanol,water,323.15,108.0,4.68213122712422,"inert gas stripping, headspace analysis in two variants - the classical and the relative, Rayleigh distillation, and circulation still",True,train,12.193914225971131
je901063s.xml,2010,1,AQIXEPGDORPWBJ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,3-pentanol,water,333.15,116.0,4.7535901911063645,"inert gas stripping, headspace analysis in two variants - the classical and the relative, Rayleigh distillation, and circulation still",True,train,11.941373169432953
je901063s.xml,2010,1,AQIXEPGDORPWBJ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,3-pentanol,water,343.15,111.0,4.709530201312334,"inert gas stripping, headspace analysis in two variants - the classical and the relative, Rayleigh distillation, and circulation still",True,train,11.692527005583825
je901063s.xml,2010,1,AQIXEPGDORPWBJ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,3-pentanol,water,353.15,120.0,4.787491742782046,"inert gas stripping, headspace analysis in two variants - the classical and the relative, Rayleigh distillation, and circulation still",True,train,11.447992554549845
je901063s.xml,2010,1,AQIXEPGDORPWBJ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,3-pentanol,water,363.15,117.0,4.762173934797756,"inert gas stripping, headspace analysis in two variants - the classical and the relative, Rayleigh distillation, and circulation still",True,train,11.208256178985081
je901063s.xml,2010,1,AQIXEPGDORPWBJ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,3-pentanol,water,371.15,104.0,4.6443908991413725,"inert gas stripping, headspace analysis in two variants - the classical and the relative, Rayleigh distillation, and circulation still",True,train,11.02017443486197
je800517r.xml,2008,2,ATHHXGZTWNVVOU-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,N-methylformamide,water,333.15,1.37,0.3148107398400336,"comparative ebulliometry, circulation still, and differential distillation method",True,train,3.3116461709199587
je800517r.xml,2008,2,ATHHXGZTWNVVOU-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,N-methylformamide,water,343.15,1.42,0.3506568716131693,"comparative ebulliometry, circulation still, and differential distillation method",True,train,3.2496551243360843
je800517r.xml,2008,2,ATHHXGZTWNVVOU-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,N-methylformamide,water,353.15,1.44,0.3646431135879092,"comparative ebulliometry, circulation still, and differential distillation method",True,train,3.190934767894239
je800517r.xml,2008,2,ATHHXGZTWNVVOU-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,N-methylformamide,water,372.65,1.65,0.5007752879124892,"comparative ebulliometry, circulation still, and differential distillation method",True,train,3.0818389599998377
j.jct.2004.11.005.xml,2005,1,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,propane,1-pentanol,269.99,3.07,1.1216775615991057,Other,True,test_one,1.1127087449545676
j.jct.2004.11.005.xml,2005,1,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,propane,1-pentanol,290.0,3.08,1.1249295969854831,Other,True,test_one,1.0215038160616456
j.jct.2004.11.005.xml,2005,1,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,propane,1-pentanol,310.0,3.05,1.1151415906193205,Other,True,test_one,0.9397591739125076
j.jct.2004.11.005.xml,2005,1,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,propane,1-pentanol,330.0,3.0,1.0986122886681098,Other,True,test_one,0.8674143657673629
