table,row,reason
idac,32697,"repeat measurements disagree, group dropped"
idac,39750,"repeat measurements disagree, group dropped"
idac,1195,"repeat measurements disagree, group dropped"
idac,32699,"repeat measurements disagree, group dropped"
idac,1196,"repeat measurements disagree, group dropped"
idac,32701,"repeat measurements disagree, group dropped"
idac,2324,"repeat measurements disagree, group dropped"
idac,14663,"repeat measurements disagree, group dropped"
idac,33060,"repeat measurements disagree, group dropped"
idac,39308,"repeat measurements disagree, group dropped"
idac,33061,"repeat measurements disagree, group dropped"
idac,39310,"repeat measurements disagree, group dropped"
idac,2344,"repeat measurements disagree, group dropped"
idac,14698,"repeat measurements disagree, group dropped"
idac,34355,"repeat measurements disagree, group dropped"
idac,34645,"repeat measurements disagree, group dropped"
idac,34356,"repeat measurements disagree, group dropped"
idac,34649,"repeat measurements disagree, group dropped"
idac,32747,"repeat measurements disagree, group dropped"
idac,39790,"repeat measurements disagree, group dropped"
idac,30856,"repeat measurements disagree, group dropped"
idac,32703,"repeat measurements disagree, group dropped"
idac,1198,"repeat measurements disagree, group dropped"
idac,32704,"repeat measurements disagree, group dropped"
idac,30857,"repeat measurements disagree, group dropped"
idac,32705,"repeat measurements disagree, group dropped"
idac,1199,"repeat measurements disagree, group dropped"
idac,32706,"repeat measurements disagree, group dropped"
idac,1200,"repeat measurements disagree, group dropped"
idac,30858,"repeat measurements disagree, group dropped"
idac,32492,"repeat measurements disagree, group dropped"
idac,39502,"repeat measurements disagree, group dropped"
idac,32493,"repeat measurements disagree, group dropped"
idac,39504,"repeat measurements disagree, group dropped"
idac,34337,"repeat measurements disagree, group dropped"
idac,34659,"repeat measurements disagree, group dropped"
idac,34338,"repeat measurements disagree, group dropped"
idac,34661,"repeat measurements disagree, group dropped"
idac,34339,"repeat measurements disagree, group dropped"
idac,34663,"repeat measurements disagree, group dropped"
idac,135,"repeat measurements disagree, group dropped"
idac,136,"repeat measurements disagree, group dropped"
idac,137,"repeat measurements disagree, group dropped"
idac,138,"repeat measurements disagree, group dropped"
idac,139,"repeat measurements disagree, group dropped"
idac,140,"repeat measurements disagree, group dropped"
idac,141,"repeat measurements disagree, group dropped"
idac,142,"repeat measurements disagree, group dropped"
idac,143,"repeat measurements disagree, group dropped"
idac,144,"repeat measurements disagree, group dropped"
idac,10696,"repeat measurements disagree, group dropped"
idac,12768,"repeat measurements disagree, group dropped"
idac,38617,repeat disagreement >0.2 in ln gamma
idac,38620,repeat disagreement >0.2 in ln gamma
idac,32608,"repeat measurements disagree, group dropped"
idac,38883,"repeat measurements disagree, group dropped"
idac,33036,"repeat measurements disagree, group dropped"
idac,39276,"repeat measurements disagree, group dropped"
idac,33037,"repeat measurements disagree, group dropped"
idac,39278,"repeat measurements disagree, group dropped"
idac,2244,"repeat measurements disagree, group dropped"
idac,14499,"repeat measurements disagree, group dropped"
idac,32505,"repeat measurements disagree, group dropped"
idac,32687,"repeat measurements disagree, group dropped"
idac,39738,"repeat measurements disagree, group dropped"
idac,32506,repeat disagreement >0.2 in ln gamma
idac,38855,repeat disagreement >0.2 in ln gamma
idac,32507,repeat disagreement >0.2 in ln gamma
idac,31243,repeat disagreement >0.2 in ln gamma
idac,1890,"repeat measurements disagree, group dropped"
idac,39164,"repeat measurements disagree, group dropped"
idac,1891,"repeat measurements disagree, group dropped"
idac,39165,"repeat measurements disagree, group dropped"
idac,34314,"repeat measurements disagree, group dropped"
idac,34533,"repeat measurements disagree, group dropped"
idac,33057,"repeat measurements disagree, group dropped"
idac,39304,"repeat measurements disagree, group dropped"
idac,33058,"repeat measurements disagree, group dropped"
idac,39306,"repeat measurements disagree, group dropped"
idac,2254,"repeat measurements disagree, group dropped"
idac,14549,"repeat measurements disagree, group dropped"
idac,1209,"repeat measurements disagree, group dropped"
idac,38865,"repeat measurements disagree, group dropped"
idac,32628,"repeat measurements disagree, group dropped"
idac,38901,"repeat measurements disagree, group dropped"
idac,33072,"repeat measurements disagree, group dropped"
idac,39328,"repeat measurements disagree, group dropped"
idac,32527,"repeat measurements disagree, group dropped"
idac,33085,"repeat measurements disagree, group dropped"
idac,38873,"repeat measurements disagree, group dropped"
idac,32528,"repeat measurements disagree, group dropped"
idac,33087,"repeat measurements disagree, group dropped"
idac,2675,repeat disagreement >0.2 in ln gamma
idac,32623,"repeat measurements disagree, group dropped"
idac,38891,"repeat measurements disagree, group dropped"
idac,33051,"repeat measurements disagree, group dropped"
idac,39296,"repeat measurements disagree, group dropped"
idac,33052,"repeat measurements disagree, group dropped"
idac,39298,"repeat measurements disagree, group dropped"
idac,38863,repeat disagreement >0.2 in ln gamma
idac,31251,"repeat measurements disagree, group dropped"
idac,32585,"repeat measurements disagree, group dropped"
idac,32543,"repeat measurements disagree, group dropped"
idac,39399,"repeat measurements disagree, group dropped"
idac,32508,"repeat measurements disagree, group dropped"
idac,32717,"repeat measurements disagree, group dropped"
idac,39742,"repeat measurements disagree, group dropped"
idac,32509,"repeat measurements disagree, group dropped"
idac,32719,"repeat measurements disagree, group dropped"
idac,32510,"repeat measurements disagree, group dropped"
idac,32721,"repeat measurements disagree, group dropped"
idac,33030,"repeat measurements disagree, group dropped"
