name,formula,inchikey,smiles,source
((S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl)-L-alanine,C15H21NO4,CEIWXEQZZZHLDM-AAEUAGOBSA-N,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)O,xml_inchi
((benzyloxy)carbonyl)-L-phenylalanine,C17H17NO4,RRONHWAVOYADJL-HNNXBMFYSA-N,O=C(O)[C@H](Cc1ccccc1)N=C(O)OCc1ccccc1,xml_inchi
"((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl) bis(2-methylacrylate)",C16H26O7,LTHJXDSHSVNJKG-UHFFFAOYSA-N,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,xml_inchi
"(+)-(S)-1,2-propanediol",C3H8O2,DNIAPMSPPWPWGF-VKHMYHEASA-N,C[C@H](O)CO,xml_inchi
(+)-.alpha.-tocopherol,C29H50O2,GVJHHUAWPYXKBD-IEOSBIPESA-N,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,xml_inchi
(+)-3-carene,C10H16,BQOFWKZOCNGFEC-BDAKNGLRSA-N,CC1=CC[C@@H]2[C@H](C1)C2(C)C,xml_inchi
(+)-N-methylephedrine,C11H17NO,FMCGSUUBYTWNDP-MWLCHTKSSA-N,C[C@H]([C@@H](O)c1ccccc1)N(C)C,xml_inchi
(+)-Simvastatin,C25H38O5,RYMZZMVNJRMUDD-HGQWONQESA-N,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,xml_inchi
(+)-camphorquinone,C10H14O2,VNQXSTWCDUXYEZ-QUBYGPBYSA-N,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2=O,xml_inchi
(+)-catechin,C15H14O6,PFTAWBLQPZVEMU-DZGCQCFKSA-N,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,xml_inchi
(+)-catechin hydrate,C15H16O7,OFUMQWOJBVNKLR-NQQJLSKUSA-N,O.Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,xml_inchi
(+)-cedrol,C15H26O,SVURIXNDRWRAFU-OGMFBOKVSA-N,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,xml_inchi
(+)-fenchone,C10H16O,LHXDLQBQYFFVNW-XCBNKYQSSA-N,CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2,xml_inchi
(+)-galactose,C6H12O6,GZCGUPFRVQAUEE-KCDKBNATSA-N,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,xml_inchi
