inchikey,n,w_lowest,w_max
AFFLGGQVNFXPEV-UHFFFAOYSA-N,5,0.43920179781268565,0.43920179781268565
AOGQPLXWSUTHQB-UHFFFAOYSA-N,5,0.4845630664155086,0.4845630664155086
BGHCVCJVXZWKCC-UHFFFAOYSA-N,5,0.430738380908218,0.430738380908218
BKIMMITUMNQMOS-UHFFFAOYSA-N,5,0.6694165309311257,0.6694165309311257
BTFJIXJJCSYFAL-UHFFFAOYSA-N,5,0.7214766793545339,0.7214766793545339
DCAYPVUWAIABOU-UHFFFAOYSA-N,5,0.6551836668010925,0.6551836668010925
DIOQZVSQGTUSAI-UHFFFAOYSA-N,5,0.5372463842531747,0.5372463842531747
DOIRQSBPFJWKBE-UHFFFAOYSA-N,5,0.5089533641011083,0.5089533641011083
DTOSIQBPPRVQHS-PDBXOOCHSA-N,5,0.7307194427172626,0.7307194427172626
DURPTKYDGMDSBL-UHFFFAOYSA-N,5,0.6637441097186682,0.6637441097186682
FLIACVVOZYBSBS-UHFFFAOYSA-N,5,0.7290497646264551,0.7290497646264551
GHVNFZFCNZKVNT-UHFFFAOYSA-N,5,0.4455616673535976,0.4455616673535976
GLDOVTGHNKAZLK-UHFFFAOYSA-N,5,0.5658154107290262,0.5658154107290262
GSEJCLTVZPLZKY-UHFFFAOYSA-N,3,0.9862746761746939,0.9862746761746939
HLZKNKRTKFSKGZ-UHFFFAOYSA-N,5,0.7220989009558281,0.7220989009558281
HPEUJPJOZXNMSJ-UHFFFAOYSA-N,5,0.9154354308194066,0.9154354308194066
IPCSVZSSVZVIGE-UHFFFAOYSA-N,5,0.46862077244969164,0.46862077244969164
JRZJOMJEPLMPRA-UHFFFAOYSA-N,5,0.4373414439528733,0.4373414439528733
KBPLFHHGFOOTCA-UHFFFAOYSA-N,5,0.6493775478447825,0.6493775478447825
LEQCJROTXBYLEU-IWSPIJDZSA-N,1,1.0,1.0
LQZZUXJYWNFBMV-UHFFFAOYSA-N,5,0.4358150740064164,0.4358150740064164
LWWJDXKGQVEZKT-QMMMGPOBSA-N,5,0.5122669399790318,0.5122669399790318
MMKRHZKQPFCLLS-UHFFFAOYSA-N,5,0.3192438079747196,0.3192438079747196
MVLVMROFTAUDAG-UHFFFAOYSA-N,5,0.2948061314025004,0.2948061314025004
MWKFXSUHUHTGQN-UHFFFAOYSA-N,5,0.5885984990382163,0.5885984990382163
NQBXSWAWVZHKBZ-UHFFFAOYSA-N,5,0.5358600367329832,0.5358600367329832
OYHQOLUKZRVURQ-HZJYTTRNSA-N,5,0.39349203160130414,0.39349203160130414
POAOYUHQDCAZBD-UHFFFAOYSA-N,5,0.6090888413140689,0.6090888413140689
POULHZVOKOAJMA-UHFFFAOYSA-N,5,0.35409471982938695,0.35409471982938695
PWGJDPKCLMLPJW-UHFFFAOYSA-N,5,0.3314743204405691,0.3314743204405691
PYGXAGIECVVIOZ-UHFFFAOYSA-N,5,0.49956930544821543,0.49956930544821543
QIQXTHQIDYTFRH-UHFFFAOYSA-N,5,0.5016676223560802,0.5016676223560802
QYDYPVFESGNLHU-KHPPLWFESA-N,5,0.8127039876637003,0.8127039876637003
RGXWDWUGBIJHDO-UHFFFAOYSA-N,5,0.44279666010453883,0.44279666010453883
RSJKGSCJYJTIGS-UHFFFAOYSA-N,5,0.5933846759019455,0.5933846759019455
SBZXBUIDTXKZTM-UHFFFAOYSA-N,5,0.8430529470202689,0.8430529470202689
SHZIWNPUGXLXDT-UHFFFAOYSA-N,5,0.6857492535749143,0.6857492535749143
SNRUBQQJIBEYMU-UHFFFAOYSA-N,5,0.5690762360127953,0.5690762360127953
TUNFSRHWOTWDNC-UHFFFAOYSA-N,5,0.5919889227083948,0.5919889227083948
TVMXDCGIABBOFY-UHFFFAOYSA-N,5,0.6745439785950681,0.6745439785950681
UQKAOOAFEFCDGT-UHFFFAOYSA-N,5,0.5342845730883929,0.5342845730883929
UWHCKJMYHZGTIT-UHFFFAOYSA-N,5,0.6120629653977344,0.6120629653977344
XIRNKXNNONJFQO-UHFFFAOYSA-N,5,0.48448423706906807,0.48448423706906807
YCOZIPAWZNQLMR-UHFFFAOYSA-N,5,0.6959753034901486,0.6959753034901486
YFNKIDBQEZZDLK-UHFFFAOYSA-N,5,0.8228175135685529,0.8228175135685529
ZAZKJZBWRNNLDS-UHFFFAOYSA-N,5,0.6115198362878181,0.6115198362878181
ZIBGPFATKBEMQZ-UHFFFAOYSA-N,5,0.9932557694798597,0.9932557694798597
ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,5,0.6753711086056556,0.6753711086056556
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,5,0.5095222266557778,0.5095222266557778
ZUHZGEOKBKGPSW-UHFFFAOYSA-N,5,0.8097233611956703,0.8097233611956703
