inchikey,name,smiles,heavy_atoms,n_rows
DNIAPMSPPWPWGF-UHFFFAOYSA-N,propylene glycol,CC(CO)O,5.0,904
BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,CCC(C)O,5.0,452
AOHJOMMDDJHIJH-UHFFFAOYSA-N,"1,2-diaminopropane",CC(CN)N,5.0,357
ARXJGSRGQADJSQ-UHFFFAOYSA-N,1-methoxy-2-propanol,CC(COC)O,6.0,340
LPSXSORODABQKT-UHFFFAOYSA-N,"4,7-methano-1H-indene, octahydro-, (3a.alpha.,4.alpha.,7.alpha.,7a.alpha.)-",C1CC2C3CCC(C3)C2C1,10.0,291
GOOHAUXETOMSMM-UHFFFAOYSA-N,methyloxirane,CC1CO1,4.0,288
GSNUFIFRDBKVIE-UHFFFAOYSA-N,"2,5-dimethylfuran",CC1=CC=C(O1)C,7.0,253
OVISMSJCKCDOPU-UHFFFAOYSA-N,"1,6-dichlorohexane",C(CCCCl)CCCl,8.0,242
QOHMWDJIBGVPIF-UHFFFAOYSA-N,3-diethylaminopropylamine,CCN(CC)CCCN,9.0,238
WTARULDDTDQWMU-UHFFFAOYSA-N,"bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-",CC1(C2CCC(=C)C1C2)C,10.0,236
IBODDUNKEPPBKW-UHFFFAOYSA-N,"1,5-dibromopentane",C(CCBr)CCBr,7.0,214
PKHMTIRCAFTBDS-UHFFFAOYSA-N,hexanoic anhydride,CCCCCC(=O)OC(=O)CCCCC,15.0,207
SGRHVVLXEBNBDV-UHFFFAOYSA-N,"1,6-dibromohexane",C(CCCBr)CCBr,8.0,206
ULTHEAFYOOPTTB-UHFFFAOYSA-N,"1,4-dibromobutane",C(CCBr)CBr,6.0,206
UDGSVBYJWHOHNN-UHFFFAOYSA-N,"1,2-ethanediamine, N,N-diethyl-",CCN(CC)CCN,8.0,206
DUCKXCGALKOSJF-UHFFFAOYSA-N,pentanoic anhydride,CCCCC(=O)OC(=O)CCCC,13.0,180
CDOSHBSSFJOMGT-UHFFFAOYSA-N,"1,6-octadien-3-ol, 3,7-dimethyl-",CC(=CCCC(C)(C=C)O)C,11.0,180
ZAJNGDIORYACQU-UHFFFAOYSA-N,2-decanone,CCCCCCCCC(=O)C,11.0,176
WXGNWUVNYMJENI-UHFFFAOYSA-N,"1,1,2,2-tetrafluoroethane",FC(F)C(F)F,6.0,165
RHLVCLIPMVJYKS-UHFFFAOYSA-N,3-octanone,CCCCCC(=O)CC,9.0,162
OTKFCIVOVKCFHR-UHFFFAOYSA-N,methyl (methylthio)methyl sulfoxide,CSCS(=O)C,6.0,155
CDOOAUSHHFGWSA-OWOJBTEDSA-N,R-1234ze(E),F/C=C/C(F)(F)F,7.0,154
BSPCSKHALVHRSR-UHFFFAOYSA-N,2-chlorobutane,CCC(C)Cl,5.0,131
FENFUOGYJVOCRY-UHFFFAOYSA-N,1-propoxy-2-propanol,CCCOCC(C)O,8.0,124
TZMFJUDUGYTVRY-UHFFFAOYSA-N,"2,3-pentanedione",CCC(=O)C(=O)C,7.0,115
NNWUEBIEOFQMSS-UHFFFAOYSA-N,2-methylpiperidine,CC1CCCCN1,7.0,114
WEEGYLXZBRQIMU-UHFFFAOYSA-N,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",CC1(C2CCC(O1)(CC2)C)C,11.0,110
AUQDITHEDVOTCU-UHFFFAOYSA-N,cyclopropyl cyanide,C1CC1C#N,5.0,109
QFTYSVGGYOXFRQ-UHFFFAOYSA-N,"1,12-diaminododecane",C(CCCCCCN)CCCCCN,14.0,104
DMUSSSYUUUYJRM-UHFFFAOYSA-N,pentyl propyl ether,CCCCCOCCC,9.0,104
RUOJZAUFBMNUDX-UHFFFAOYSA-N,"1,2-propylene carbonate",CC1COC(=O)O1,7.0,104
JMTFLSQHQSFNTE-UHFFFAOYSA-N,1-dodecyl-1H-imidazole,CCCCCCCCCCCCN1C=CN=C1,17.0,103
PYSGFFTXMUWEOT-UHFFFAOYSA-N,3-(dimethylamino)-1-propanol,CN(C)CCCO,7.0,101
QYSXYAURTRCDJU-UHFFFAOYSA-N,"propanol, oxybis-",CCC(O)OC(O)CC,9.0,100
XNIOWJUQPMKCIJ-UHFFFAOYSA-N,2-benzylaminoethanol,C1=CC=C(C=C1)CNCCO,11.0,100
QCDWFXQBSFUVSP-UHFFFAOYSA-N,ethylene glycol monophenyl ether,C1=CC=C(C=C1)OCCO,10.0,100
LLHKCFNBLRBOGN-UHFFFAOYSA-N,"2-propanol, 1-methoxy-, acetate",CC(COC)OC(=O)C,9.0,98
JUGSKHLZINSXPQ-UHFFFAOYSA-N,"1-pentanol, 2,2,3,3,4,4,5,5-octafluoro-",C(C(C(C(C(F)F)(F)F)(F)F)(F)F)O,14.0,94
HVCNXQOWACZAFN-UHFFFAOYSA-N,4-ethylmorpholine,CCN1CCOCC1,8.0,81
BRLQWZUYTZBJKN-UHFFFAOYSA-N,"1-chloro-2,3-epoxypropane",C1C(O1)CCl,5.0,81
JZUHIOJYCPIVLQ-UHFFFAOYSA-N,"2-methyl-1,5-pentanediamine",CC(CCCN)CN,8.0,80
WTSXICLFTPPDTL-UHFFFAOYSA-N,"1,3-pentanediamine",CCC(CCN)N,7.0,80
SCZVXVGZMZRGRU-UHFFFAOYSA-N,N-ethylethylenediamine,CCNCCN,6.0,79
LPEKGGXMPWTOCB-UHFFFAOYSA-N,methyl 2-hydroxypropionate,CC(C(=O)OC)O,7.0,78
BYKNGMLDSIEFFG-UHFFFAOYSA-N,"1-heptanol, 2,2,3,3,4,4,5,5,6,6,7,7-dodecafluoro-",C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,20.0,78
JOYRKODLDBILNP-UHFFFAOYSA-N,urethane,CCOC(=O)N,6.0,76
YQLZOAVZWJBZSY-UHFFFAOYSA-N,"1,10-diaminodecane",C(CCCCCN)CCCCN,12.0,75
QLVWOKQMDLQXNN-UHFFFAOYSA-N,dibutyl carbonate,CCCCOC(=O)OCCCC,12.0,75
IWBOPFCKHIJFMS-UHFFFAOYSA-N,"1,2-bis(2-aminoethoxy)ethane",C(COCCOCCN)N,10.0,72
XZBXAYCCBFTQHH-UHFFFAOYSA-N,"benzene, (3-chloropropyl)-",C1=CC=C(C=C1)CCCCl,10.0,70
MNNZINNZIQVULG-UHFFFAOYSA-N,(2-chloroethyl)benzene,C1=CC=C(C=C1)CCCl,9.0,70
STSCVKRWJPWALQ-UHFFFAOYSA-N,ethyl trifluoroacetate,CCOC(=O)C(F)(F)F,9.0,69
QHJABUZHRJTCAR-UHFFFAOYSA-N,N-methyltrimethylenediamine,CNCCCN,6.0,64
IUNMPGNGSSIWFP-UHFFFAOYSA-N,"1,3-propanediamine, N,N-dimethyl-",CN(C)CCCN,7.0,63
PGFXOWRDDHCDTE-UHFFFAOYSA-N,"2,2,3-trifluoro-3-(trifluoromethyl)oxirane",C1(C(O1)(F)F)(C(F)(F)F)F,10.0,63
SGUVLZREKBPKCE-UHFFFAOYSA-N,"1,5-diazabicyclo[4.3.0]non-5-ene",C1CC2=NCCCN2C1,9.0,63
WAPNOHKVXSQRPX-UHFFFAOYSA-N,1-phenylethanol,CC(C1=CC=CC=C1)O,9.0,59
LOLKAJARZKDJTD-UHFFFAOYSA-N,monoethyl succinate,CCOC(=O)CCC(=O)O,10.0,58
WLVCBAMXYMWGLJ-UHFFFAOYSA-N,"hexane, 1-chloro-2-ethyl-",CCCCC(CC)CCl,9.0,58
OVGRCEFMXPHEBL-UHFFFAOYSA-N,Propoxyethylene,CCCOC=C,6.0,54
FXRLMCRCYDHQFW-UHFFFAOYSA-N,"2,3,3,3-tetrafluoroprop-1-ene",C=C(F)C(F)(F)F,7.0,52
NSGXIBWMJZWTPY-UHFFFAOYSA-N,"1,1,1,3,3,3-hexafluoropropane",C(C(F)(F)F)C(F)(F)F,9.0,51
DCKVNWZUADLDEH-UHFFFAOYSA-N,1-methylpropyl ethanoate,CCC(C)OC(=O)C,8.0,50
CGZZMOTZOONQIA-UHFFFAOYSA-N,cycloheptanone,C1CCCC(=O)CC1,8.0,50
ROORDVPLFPIABK-UHFFFAOYSA-N,diphenyl carbonate,C1=CC=C(C=C1)OC(=O)OC2=CC=CC=C2,16.0,48
GKASDNZWUGIAMG-UHFFFAOYSA-N,triethyl orthoformate,CCOC(OCC)OCC,10.0,48
QUKHPBOCBWDYMW-UHFFFAOYSA-N,diisobutyl hexahydrophthalate,CC(C)COC(=O)C1CCCCC1C(=O)OCC(C)C,20.0,45
IHXNSHZBFXGOJM-UHFFFAOYSA-N,2-methyl-2-butenenitrile,CC=C(C)C#N,6.0,44
BBDKZWKEPDTENS-UHFFFAOYSA-N,4-vinyl-1-cyclohexene,C=CC1CC=CCC1,8.0,44
PUPZLCDOIYMWBV-UHFFFAOYSA-N,"1,3-dihydroxybutane",CC(CCO)O,6.0,43
RQEUFEKYXDPUSK-UHFFFAOYSA-N,DL-1-phenylethylamine,CC(C1=CC=CC=C1)N,9.0,42
HXKKHQJGJAFBHI-UHFFFAOYSA-N,"2-propanol, 1-amino-",CC(CN)O,5.0,42
RMLFHPWPTXWZNJ-UHFFFAOYSA-N,dodecafluoro-2-methylpentan-3-one,O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,19.0,42
DTOSIQBPPRVQHS-PDBXOOCHSA-N,"9,12,15-octadecatrienoic acid",CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,20.0,42
UVKXJAUUKPDDNW-UHFFFAOYSA-N,3-pentenenitrile,CC=CCC#N,6.0,40
PLZZPPHAMDJOSR-UHFFFAOYSA-N,nonanenitrile,CCCCCCCCC#N,10.0,40
SZKKNEOUHLFYNA-UHFFFAOYSA-N,undecanenitrile,CCCCCCCCCCC#N,12.0,39
KISVAASFGZJBCY-UHFFFAOYSA-N,methyl 10-undecenoate,COC(=O)CCCCCCCCC=C,14.0,39
LVZWSLJZHVFIQJ-UHFFFAOYSA-N,cyclopropane,C1CC1,3.0,37
OXQHJIGWZNIQDS-UHFFFAOYSA-N,"butane, 2,2-dimethoxy-",CCC(C)(OC)OC,8.0,37
UIKUBYKUYUSRSM-UHFFFAOYSA-N,N-(3-aminopropyl)morpholine,C1COCCN1CCCN,10.0,36
KKFDCBRMNNSAAW-UHFFFAOYSA-N,N-.beta.-hydroxyethylmorpholine,C1COCCN1CCO,9.0,36
WKJHMKQSIBMURP-UHFFFAOYSA-N,tridecanenitrile,CCCCCCCCCCCCC#N,14.0,36
SDAXRHHPNYTELL-UHFFFAOYSA-N,heptanenitrile,CCCCCCC#N,8.0,33
RIQRGMUSBYGDBL-UHFFFAOYSA-N,"1,1,1,2,2,3,4,5,5,5-decafluoropentane",C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,15.0,33
VXCUURYYWGCLIH-UHFFFAOYSA-N,dodecanenitrile,CCCCCCCCCCCC#N,13.0,33
MLRCLPRHEOPXLL-UHFFFAOYSA-N,tetradecanenitrile,CCCCCCCCCCCCCC#N,15.0,32
UFLHIIWVXFIJGU-ARJAWSKDSA-N,cis-3-hexen-1-ol,CC/C=C\CCO,7.0,32
IZMOTZDBVPMOFE-UHFFFAOYSA-N,dodecanedioic acid dimethyl ester,COC(=O)CCCCCCCCCCC(=O)OC,18.0,31
YSIMAPNUZAVQER-UHFFFAOYSA-N,octanenitrile,CCCCCCCC#N,9.0,31
XSNQECSCDATQEL-UHFFFAOYSA-N,"7-Octen-2-ol, 2,6-dimethyl-",CC(CCCC(C)(C)O)C=C,11.0,30
MGSRCZKZVOBKFT-UHFFFAOYSA-N,thymol,CC1=CC(=C(C=C1)C(C)C)O,11.0,30
XTBFPVLHGVYOQH-UHFFFAOYSA-N,methyl phenyl carbonate,COC(=O)OC1=CC=CC=C1,11.0,30
XOKSLPVRUOBDEW-UHFFFAOYSA-N,"bicyclo[3.1.1]heptane, 2,6,6-trimethyl-",CC1CCC2CC1C2(C)C,10.0,30
QMOLZSLXSAVSPU-UHFFFAOYSA-N,"2-propanone, O-methyloxime",CC(=NOC)C,6.0,29
QJQZRLXDLORINA-UHFFFAOYSA-N,2-cyclohexylethanol,C1CCC(CC1)CCO,9.0,27
RGDQRXPEZUNWHX-UHFFFAOYSA-N,2-amino-3-picoline,CC1=C(N=CC=C1)N,8.0,26
FUDNBFMOXDUIIE-UHFFFAOYSA-N,"3,7-dimethyl-1,6-octadiene",CC(CCC=C(C)C)C=C,10.0,26
GIWQSPITLQVMSG-UHFFFAOYSA-N,"1,2-dimethylimidazole",CC1=NC=CN1C,7.0,25
GMEONFUTDYJSNV-UHFFFAOYSA-N,ethyl levulinate,CCOC(=O)CCC(=O)C,10.0,23
PZYDAVFRVJXFHS-UHFFFAOYSA-N,N-cyclohexylpyrrolidinone,C1CCC(CC1)N2CCCC2=O,12.0,23
YBBRCQOCSYXUOC-UHFFFAOYSA-N,sulfuryl chloride,O=S(=O)(Cl)Cl,5.0,22
MNDIARAMWBIKFW-UHFFFAOYSA-N,1-bromohexane,CCCCCCBr,7.0,22
NNBZCPXTIHJBJL-UHFFFAOYSA-N,cis-decalin,C1CCC2CCCCC2C1,10.0,20
DJCYDDALXPHSHR-UHFFFAOYSA-N,2-(2-propoxyethoxy)ethanol,CCCOCCOCCO,10.0,19
UKODFQOELJFMII-UHFFFAOYSA-N,"N,N,N',N'',N''-pentamethyldiethylenetriamine",CN(C)CCN(C)CCN(C)C,12.0,18
PMSVVUSIPKHUMT-UHFFFAOYSA-N,2-Cyanopyrazine,C1=CN=C(C=N1)C#N,8.0,18
GWQOOADXMVQEFT-UHFFFAOYSA-N,"2,5-dimethylthiophene",CC1=CC=C(S1)C,7.0,17
NHDODQWIKUYWMW-UHFFFAOYSA-N,"benzene, 1-bromo-4-chloro-",C1=CC(=CC=C1Cl)Br,8.0,16
HHBZZTKMMLDNDN-UHFFFAOYSA-N,sec-butyl ether,CCC(C)OC(C)CC,9.0,16
XMGQYMWWDOXHJM-UHFFFAOYSA-N,limonene,CC1=CCC(CC1)C(=C)C,10.0,16
CWLKGDAVCFYWJK-UHFFFAOYSA-N,m-aminophenol,C1=CC(=CC(=C1)O)N,8.0,16
ZZXUZKXVROWEIF-UHFFFAOYSA-N,butylene carbonate,CCC1COC(=O)O1,8.0,14
QPRQEDXDYOZYLA-UHFFFAOYSA-N,"1-butanol, 2-methyl-",CCC(C)CO,6.0,14
XHIUFYZDQBSEMF-UHFFFAOYSA-N,2-methylbutyl acetate,CCC(C)COC(=O)C,9.0,14
JYVLIDXNZAXMDK-UHFFFAOYSA-N,pentan-2-ol,CCCC(C)O,6.0,13
ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,coumarin,C1=CC=C2C(=C1)C=CC(=O)O2,11.0,12
RAXXELZNTBOGNW-UHFFFAOYSA-N,1H-imidazole,C1=CN=CN1,5.0,12
KYWIYKKSMDLRDC-UHFFFAOYSA-N,2-undecanone,CCCCCCCCCC(=O)C,12.0,11
CYIFVRUOHKNECG-UHFFFAOYSA-N,methyl undecyl ketone,CCCCCCCCCCCC(=O)C,14.0,10
GOUHYARYYWKXHS-UHFFFAOYSA-N,4-carboxybenzaldehyde,C1=CC(=CC=C1C=O)C(=O)O,11.0,9
MYMOFIZGZYHOMD-UHFFFAOYSA-N,oxygen,O=O,2.0,8
IJGRMHOSHXDMSA-UHFFFAOYSA-N,nitrogen,N#N,2.0,8
NZNMSOFKMUBTKW-UHFFFAOYSA-N,hexahydrobenzoic acid,C1CCC(CC1)C(=O)O,9.0,8
LJOODBDWMQKMFB-UHFFFAOYSA-N,cyclohexylacetic acid,C1CCC(CC1)CC(=O)O,10.0,8
IANQTJSKSUMEQM-UHFFFAOYSA-N,"2,3-benzofuran",C1=CC=C2C(=C1)C=CO2,9.0,8
QLNJFJADRCOGBJ-UHFFFAOYSA-N,propionamide,CCC(=O)N,5.0,7
RNVYQYLELCKWAN-UHFFFAOYSA-N,"2,2-dimethyl-1,3-dioxolane-4-methanol",CC1(OCC(O1)CO)C,9.0,6
CCEFMUBVSUDRLG-UHFFFAOYSA-N,"7-oxabicyclo[4.1.0]heptane, 1-methyl-4-(1-methylethenyl)-",CC(=C)C1CCC2(C(C1)O2)C,11.0,6
KBHBUUBXEQUIMV-UHFFFAOYSA-N,1H-perfluorooctane,C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,25.0,6
MRABAEUHTLLEML-UHFFFAOYSA-N,butyl lactate,CCCCOC(=O)C(C)O,10.0,5
DOOTYTYQINUNNV-UHFFFAOYSA-N,triethyl citrate,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,19.0,5
LOQGSOTUHASIHI-UHFFFAOYSA-N,"cyclohexane, 1,1,2,2,3,3,4,5,5,6-decafluoro-4,6-bis(trifluoromethyl)-",C1(C(C(C(C(C1(F)F)(F)F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F,24.0,3
