fam_solute,fam_solvent,Z0,Z1,cosmosac2010,cosmosac_dsp,unifac_do,n
alkane,alcohol,0.6597178915165605,1.2551044011260302,1.0425459083622626,0.8652902550893636,0.7645504951460763,456
alkene/alkyne,alcohol,0.6048396832409842,0.8129314907476348,0.7613915986474662,0.6390039003817666,0.3442035741497381,429
alcohol,water,1.9546287807825065,1.0158458152642775,0.7411409709956527,0.9786658202070502,0.2798709752449602,177
alkene/alkyne,aromatic HC,0.17868920254326054,0.32490353575921027,0.4026677291134314,0.4025069972890194,1.047347729309879,146
alcohol,acid,0.4079966206532511,0.3519422489451574,1.3999871691588057,1.4685143396563833,0.21275791210742517,133
aromatic HC,alcohol,0.8903548528858719,1.0565593427989455,1.0423042866938728,0.7459717459665267,0.3995447181721582,133
alkane,acid,0.48052240520575784,0.19592947520956244,0.1951268611549682,0.20087935268199847,0.1320691421435071,111
halogenated,alcohol,1.756154442777956,1.658493775049687,1.4373422183157019,1.3893491411323926,1.3893401323421168,106
halogenated,acid,0.46030824570296125,0.2735471020781327,0.12632436052093038,0.13171887172114932,0.15277469926636017,102
ether,alcohol,1.2608302268407958,0.9781291599006002,0.8075789531898697,0.8043291007722776,0.8401536196894057,90
alkane,aromatic HC,0.23951886586422025,0.4274776255825132,0.3772969655908475,0.3764259005392145,0.14056781710776903,77
ether,water,1.6327153315988512,1.1854178874678996,1.4732146833445081,1.0785999522266758,0.9087693613907031,64
alcohol,alcohol,2.57853764464701,2.032860118073338,1.6768064718088314,1.7851999608137894,1.7805307351699888,59
ketone/aldehyde,water,2.2685651124253026,0.6597193640367047,0.38257831821818633,0.4270379660081842,0.8195499345831616,53
ester,water,1.011031317977119,0.36076998721012027,0.255515085779307,0.14406000768819766,0.5829184973034183,50
aromatic HC,acid,0.7645039221571531,0.2986179858993108,0.14916417177027838,0.07956288766247055,0.07963559591306042,41
alcohol,alkane,3.7326922652967025,0.13158091853593332,0.8186265300719142,0.9169356110927347,0.11367655593350352,38
alkane,amide,1.1108700034018193,1.3878786409925363,1.3496202901388812,0.9517800875122949,0.1509770348018143,34
alkane,ketone/aldehyde,0.543133521249395,1.0562944771884797,0.5654092699813417,0.4343494382325152,0.09815208039802568,31
halogenated,aromatic HC,0.2238725771843436,0.07659257536038082,0.07880256608557204,0.07212243422590352,0.12067438341080407,30
amide,water,2.0178041655924206,0.9029132762076358,1.43901488294292,1.4256336753396885,0.24057937483670172,30
alkene/alkyne,ether,0.364264760566691,0.2742698735607472,0.3577175658323735,0.35191443771384606,0.1607981602316902,30
ether,aromatic HC,0.086095298687786,0.09828682384249257,0.3782407141006171,0.35887098690302716,2.488667865571995,29
ketone/aldehyde,acid,1.3683745478813651,1.1235118971788352,1.42941557295336,1.3229639308673378,0.3360067009436725,28
alcohol,aromatic HC,3.3926867463872634,0.2962053570137866,1.0581516341105852,1.2754840966242311,0.1008154467929011,27
alkene/alkyne,acid,0.37280190670984675,0.16157342651567944,0.21753497078850395,0.27793629514220397,0.19989158336339166,25
ester,acid,0.7879611076900872,0.7247081306471661,0.8724977080089659,0.836300716286069,0.056002286179476356,25
ether,acid,0.890839217316453,0.1242558927256386,0.08631679047770976,0.10020487268195545,0.24195649236880207,25
aromatic HC,ketone/aldehyde,0.25277073540776324,0.7038189305223128,0.583599685533325,0.43204216499175385,0.36637271702834,25
alkane,ether,0.30408170265366746,0.42813712776536333,0.42288462525727794,0.41886391928315264,0.241707498561642,24
alkane,amine,0.4161993565744518,0.3350589879969753,0.37977843484186513,0.3731603793682674,0.32071043652319065,23
alkene/alkyne,amine,0.12383133870954596,0.21062641805541166,0.4578899181885441,0.4407215972556916,0.14720812505936404,20
ester,alcohol,3.6644235350949734,2.8070788465775123,2.835653462865084,2.9193542957851126,2.79423932666981,18
aromatic HC,amine,0.6549359388384166,0.20000484947280406,0.26950830894789923,0.2595546045237092,0.39360090160077105,18
amine,water,2.632892150455485,1.6515293856174695,1.6076437475098229,1.8004658819663772,0.4001350093573978,18
alcohol,amine,0.44890221296418503,0.31697575900124747,0.8726502154481846,0.7029537828270673,0.2777374133380516,16
aromatic HC,amide,0.7286616227066808,0.5076274347954394,0.7360349753860953,0.25958778435055396,0.16408698902085656,16
alkene/alkyne,amide,1.5047713267073237,1.4367598032938709,1.4693542814681497,1.0870589537234705,0.11508181709064293,13
alcohol,amide,0.5396642543421931,0.043732025682006605,0.613315249456505,0.6347796065893011,0.3764372532498768,9
ketone/aldehyde,alcohol,4.73378704551019,3.6042117153939963,3.462754935175086,3.6924641506898337,3.6890924835073227,9
acid,alkane,5.923652660922312,1.7084343401745758,2.1085133767497215,2.0271002748523337,0.7894104117346089,6
halogenated,ether,0.04701481908020725,0.08083536012486672,0.03606594645037054,0.0360261825108512,0.06512446795134565,5
amine,aromatic HC,3.0020082382941524,0.8848048239457101,0.19906001905725357,0.2131042550619001,0.09169509310753235,5
ether,ether,0.026650812486607417,0.10793404981543202,0.22139575794720523,0.21797555455657897,0.269549095607136,5
aromatic HC,water,0.27375978010300217,0.6305584963097796,0.9447311210786512,0.3079498143826239,1.3602911392801478,4
halogenated,amine,0.2769664582043381,0.17766357259434482,0.21609748510254956,0.21468658117657985,0.22891958504566184,4
aromatic HC,ether,0.5040829710336557,0.5215132172579529,0.3804383266906386,0.3940700405429666,0.33759966960352483,4
aromatic HC,aromatic HC,0.22239338439206832,0.06116188727452679,0.028151088464766313,0.020697583632170113,0.33928067020984287,4
water,ketone/aldehyde,0.38794075006758405,0.06306652714414025,1.1289267231712286,0.8206948895616261,0.15920428408632992,3
amine,alkane,3.73551613831375,0.9676334024095755,0.4004742015689477,0.40944016034383796,0.022990503697098097,3
nitrile,water,3.8472256988703006,1.7402718339367198,0.9220931468133478,1.2039938171019438,0.009643904835701989,2
ester,aromatic HC,0.1881207064033334,0.04081825559336665,0.04475948979900575,0.01343403554547961,0.053856406406613246,2
alkane,alkane,0.2147567923681224,0.028159665914269803,0.1818483017075901,0.1818483017075901,0.0057928323643043,1
alkene/alkyne,nitrile,2.042022514513198,0.5119187858988563,0.590487532048344,0.7081296954504328,0.2114944114480397,1
alkene/alkyne,alkane,1.5521367327868396,0.5896403131879527,0.4364467057806273,0.4368478892638614,0.18461485455656532,1
alkane,nitrile,2.116977385648472,0.11867079655461588,0.39260712380024065,0.5021417491432119,0.21533637035600028,1
alkene/alkyne,water,3.869593262561816,0.015732855363022935,0.07956520248011323,0.8433244812539424,4.083974966953091,1
aromatic HC,nitrile,0.48854197853688297,0.026436226071155478,0.10727612305952583,0.019954443913591247,0.01436863786576903,1
halogenated,amide,1.2557583878413,0.48599730270640085,1.0264990225557038,0.4602622197487034,0.6706891557758046,1
ketone/aldehyde,aromatic HC,0.3705375380724715,0.17642343637073649,0.3056669137408029,0.0435355768816357,0.03697713254491439,1
nitrile,aromatic HC,0.27962997028879366,0.0611708474119928,0.0525159942402319,0.018795751535246596,0.0596811727492369,1
nitrile,alkene/alkyne,0.6060665567453478,1.3382794745690936,1.293999563813321,1.176357400411232,0.7698041285249713,1
water,alkene/alkyne,12.490698891467536,3.2558714595188096,4.984808217994674,5.748567496768503,0.08259975242815187,1
water,nitrile,0.033432478917649444,0.6291979629170503,1.3368103662349098,1.0549096959463138,0.03192253532732314,1
