fam_solute,fam_solvent,n,MAE,bias,model
acid,alkane,6,0.7894104117346089,0.7894104117346089,unifac_do
alcohol,acid,133,0.21275791210742517,-0.20848530189274378,unifac_do
alcohol,alcohol,59,1.7805307351699888,1.504068357890365,unifac_do
alcohol,alkane,38,0.11367655593350352,0.08235059365994725,unifac_do
alcohol,amide,9,0.3764372532498768,-0.3764372532498768,unifac_do
alcohol,amine,16,0.2777374133380516,-0.22670387627278643,unifac_do
alcohol,aromatic HC,27,0.1008154467929011,0.076336616915354,unifac_do
alcohol,water,177,0.2798709752449602,0.007189068418021278,unifac_do
alkane,acid,111,0.1320691421435071,-0.09513493492067102,unifac_do
alkane,alcohol,456,0.7645504951460763,-0.10230120242565391,unifac_do
alkane,alkane,1,0.0057928323643043,-0.0057928323643043,unifac_do
alkane,amide,34,0.1509770348018143,-0.06419292709114552,unifac_do
alkane,amine,23,0.32071043652319065,-0.030935894649534917,unifac_do
alkane,aromatic HC,77,0.14056781710776903,-0.12345060408021806,unifac_do
alkane,ether,24,0.241707498561642,-0.241707498561642,unifac_do
alkane,ketone/aldehyde,31,0.09815208039802568,-0.08363035291264363,unifac_do
alkane,nitrile,1,0.21533637035600028,-0.21533637035600028,unifac_do
alkene/alkyne,acid,25,0.19989158336339166,-0.19841698986163805,unifac_do
alkene/alkyne,alcohol,429,0.3442035741497381,-0.08390253037538832,unifac_do
alkene/alkyne,alkane,1,0.18461485455656532,0.18461485455656532,unifac_do
alkene/alkyne,amide,13,0.11508181709064293,-0.08721845490115492,unifac_do
alkene/alkyne,amine,20,0.14720812505936404,-0.14526353512695273,unifac_do
alkene/alkyne,aromatic HC,146,1.047347729309879,-0.9273475010441434,unifac_do
alkene/alkyne,ether,30,0.1607981602316902,-0.13201950551817573,unifac_do
alkene/alkyne,nitrile,1,0.2114944114480397,0.2114944114480397,unifac_do
alkene/alkyne,water,1,4.083974966953091,-4.083974966953091,unifac_do
amide,water,30,0.24057937483670172,-0.22135087025412403,unifac_do
amine,alkane,3,0.022990503697098097,0.005508866600918057,unifac_do
amine,aromatic HC,5,0.09169509310753235,0.09169509310753235,unifac_do
amine,water,18,0.4001350093573978,-0.3964808279546452,unifac_do
aromatic HC,acid,41,0.07963559591306042,-0.043175128117859285,unifac_do
aromatic HC,alcohol,133,0.3995447181721582,-0.010933365120513124,unifac_do
aromatic HC,amide,16,0.16408698902085656,-0.10290829928527885,unifac_do
aromatic HC,amine,18,0.39360090160077105,-0.39360090160077105,unifac_do
aromatic HC,aromatic HC,4,0.33928067020984287,0.33928067020984287,unifac_do
aromatic HC,ether,4,0.33759966960352483,0.33759966960352483,unifac_do
aromatic HC,ketone/aldehyde,25,0.36637271702834,-0.36637271702834,unifac_do
aromatic HC,nitrile,1,0.01436863786576903,-0.01436863786576903,unifac_do
aromatic HC,water,4,1.3602911392801478,-1.3602911392801478,unifac_do
ester,acid,25,0.056002286179476356,-0.038408633520989936,unifac_do
ester,alcohol,18,2.79423932666981,2.79423932666981,unifac_do
ester,aromatic HC,2,0.053856406406613246,0.053856406406613246,unifac_do
