label,donor_prof,acceptor_prof,dE_kcal,dH_thermal_kcal,dS_J_molK,dG_thermal_kcal,dH_kcal,dG_kcal,n_soft_modes
water->water,OH,OH,-4.71313276224075,1.5151727767472973,-87.06185411484546,7.7191622137313285,-3.197959985493453,3.006029451490578,1
methanol->methanol,OH,OH,-5.378730971946736,1.3534720686777106,-106.12676426736158,8.91601861894393,-4.025258903269026,3.5372876469971937,3
water->methanol,OH,OH,-5.205984649700268,1.5250767189999834,-108.90733867374809,9.285765778650553,-3.6809079307002843,4.079781128950286,0
methanol->water,OH,OH,-5.379559573563559,1.411525798737932,-104.36169530547042,8.84829431100514,-3.968033774825627,3.468734737441582,0
ethanol->ethanol,OH,OH,-5.583882891705704,1.3684683630069827,-126.5356262092123,10.385341440032938,-4.215414528698721,4.8014585483272345,3
water->acetone,OH,OT,-4.659750384185528,1.4762041489594964,-121.44044987204998,10.129997200907795,-3.1835462352260313,5.470246816722267,2
water->dimethyl ether,OH,OT,-4.85450120395485,1.5413613090815375,-112.08409905734061,9.52842491662124,-3.313139894873313,4.67392371266639,2
water->acetonitrile,OH,OT,-4.6842003176073845,1.3656364094560658,-102.89015072885599,8.697543302335703,-3.3185639081513187,4.013342984728318,2
water->trimethylamine,OH,OT,-7.169621492265753,1.431986665017746,-116.43662987330183,9.72920970438794,-5.737634827248007,2.559588212122188,1
methanol->pyridine,OH,OT,-7.451426873193094,1.2244244189672386,-128.87441859261432,10.407958812702418,-6.227002454225856,2.9565319395093237,3
water->THF,OH,OT,-5.361379560967098,1.7877375161809113,-125.95946534154669,10.763553623155616,-3.5736420447861867,5.402174062188518,2
methylamine->water,OT,OH,-2.6901575166751908,1.3744130177025866,-93.1981640518467,8.015673202228898,-1.3157444989726041,5.325515685553707,2
methylamine->methylamine,OT,OT,-3.5191247737370173,1.2968156025471274,-113.4950819743388,9.38442523224338,-2.22230917118989,5.865300458506363,2
dimethylamine->dimethylamine,OT,OT,-4.349801121348824,1.2652633521476275,-129.49832002103085,10.493256687298285,-3.084537769201196,6.143455565949461,2
NMA->NMA,OT,OT,-7.31066238381098,1.384193183992636,-142.4227977949334,11.53317912150682,-5.926469199818344,4.222516737695839,4
formamide->acetone,OT,OT,-8.288434702020929,1.2531082370403013,-158.43729882713788,12.543280475403378,-7.035326464980628,4.254845773382449,2
methylamine->acetonitrile,OT,OT,-2.44571689271969,1.2543278931569368,-101.87554795702806,8.513934638708538,-1.1913889995627533,6.068217745988847,4
