inchikey,name,dipole_D,n2,eps
XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,2.287084951002191,1.8825275321916537,52.93798366132173
OKKJLVBELUTLKV-UHFFFAOYSA-N,methanol,1.986970955049988,2.1192510486762592,24.447223573823276
YMWUJEATGCHHMB-UHFFFAOYSA-N,dichloromethane,1.789103835959562,2.3689531430828956,13.908836482237056
WEVYAHXRMPXWCK-UHFFFAOYSA-N,acetonitrile,3.8720840257035833,2.2030068787005956,71.09509598299249
XEKOWRVHYACXOJ-UHFFFAOYSA-N,ethyl_acetate,2.510945314794083,2.330938910632448,18.28680652100374
WYURNTSHIVDZCO-UHFFFAOYSA-N,tetrahydrofuran,2.1010453127694686,2.4322793386993906,16.149500626054998
HEDRZPFGACZZDS-UHFFFAOYSA-N,chloroform,1.184744487979396,2.415684169206536,6.0809473275875625
KXKVLQRXCPHEJC-UHFFFAOYSA-N,methyl_acetate,2.2330537088270206,2.2824782749285366,17.28145043854372
YXFVVABEGXRONW-UHFFFAOYSA-N,toluene,0.5326116672287007,2.799638812776678,3.3929163936284352
CSCPPACGZOOCGX-UHFFFAOYSA-N,acetone,3.537629556636679,2.29451321947268,46.50019817098455
NHTMVDHEPJAVLT-UHFFFAOYSA-N,"2,2,4-trimethylpentane",0.017398504392659,2.4290141167032355,2.429365383621911
IMNFDUFMRHMDMM-UHFFFAOYSA-N,n-heptane,0.0113068895921084,2.429274189676011,2.4294430116740444
TVMXDCGIABBOFY-UHFFFAOYSA-N,n-octane,0.0251666657037756,2.4388008532804784,2.4395443429545036
KVNRLNFWIYMESJ-UHFFFAOYSA-N,n-butyronitrile,3.9480564380221894,2.3305179127225277,47.493939648562765
UHOVQNZJYSORNB-UHFFFAOYSA-N,benzene,2.78131056616314e-05,2.8671006967590693,2.867100698638819
HGCIXCUEYOPUTN-UHFFFAOYSA-N,cyclohexene,0.3687254165218175,2.658818441159959,2.9417611774514905
XDTMQSROBMDMFD-UHFFFAOYSA-N,cyclohexane,2.638549855386276e-06,2.5351916222498407,2.5351916222623214
FXHOOIRPVKKKFG-UHFFFAOYSA-N,"n,n-dimethylacetamide",4.506509143837753,2.3986167596026404,55.558542731770416
CURLTUGMZLYLDI-UHFFFAOYSA-N,carbon_dioxide,2.5688612647245276e-06,1.9941817670089732,1.9941817670338524
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,1-hexanol,2.0925379425710724,2.3827398173333676,10.51756321946542
KBPLFHHGFOOTCA-UHFFFAOYSA-N,1-octanol,1.894731572682267,2.408510339525002,7.469862217987658
MWKFXSUHUHTGQN-UHFFFAOYSA-N,1-decanol,2.118217338527876,2.426373965497041,7.682775772940401
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,dimethyl_sulfoxide,4.620168134987811,2.502055807137646,75.66050692047233
QTBSBXVTEAMEQO-UHFFFAOYSA-N,acetic_acid,1.945255964786533,2.2259461836650143,16.60719143189208
IVSZLXZYQVIEFR-UHFFFAOYSA-N,m-xylene,0.5105271839761175,2.7617868602972004,3.2178903668268157
CTQNGGLPUBDAKN-UHFFFAOYSA-N,o-xylene,0.9061821517641584,2.759955236516197,4.313433823699045
BGHCVCJVXZWKCC-UHFFFAOYSA-N,n-tetradecane,0.0179636048413086,2.4649037254117023,2.465130135279341
ZNQVEEAIQZEUHB-UHFFFAOYSA-N,2-ethoxyethanol,2.832816768211947,2.3235607105824876,21.686409809692307
YEYKMVJDLWJFOA-UHFFFAOYSA-N,ethylene_glycol_monopropyl_ether,2.198580969917582,2.3458965185341314,11.957376723984458
POAOYUHQDCAZBD-UHFFFAOYSA-N,2-butoxyethanol,3.05918438340587,2.370561524462238,19.34958393516353
