inchikey,name,C6_au,alpha_au
XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,44.44937354359977,9.424061702720627
OKKJLVBELUTLKV-UHFFFAOYSA-N,methanol,212.7871071157031,21.349084592937125
YMWUJEATGCHHMB-UHFFFAOYSA-N,dichloromethane,755.965054368663,41.77042309494006
WEVYAHXRMPXWCK-UHFFFAOYSA-N,acetonitrile,381.56487592969796,29.607266512366568
XEKOWRVHYACXOJ-UHFFFAOYSA-N,ethyl_acetate,1561.8641728847035,58.504425555857935
WYURNTSHIVDZCO-UHFFFAOYSA-N,tetrahydrofuran,1245.4798372040143,51.910456414462246
HEDRZPFGACZZDS-UHFFFAOYSA-N,chloroform,1286.4599594154329,54.56968626032736
KXKVLQRXCPHEJC-UHFFFAOYSA-N,methyl_acetate,1000.3176646198001,46.798958379692706
YXFVVABEGXRONW-UHFFFAOYSA-N,toluene,2492.4663667222367,79.88661109617017
CSCPPACGZOOCGX-UHFFFAOYSA-N,acetone,783.8435590135886,41.96711562895125
NHTMVDHEPJAVLT-UHFFFAOYSA-N,"2,2,4-trimethylpentane",4448.733335936135,99.35434105461046
IMNFDUFMRHMDMM-UHFFFAOYSA-N,n-heptane,3437.716515583942,87.32753307095956
TVMXDCGIABBOFY-UHFFFAOYSA-N,n-octane,4430.554956848441,99.11117771674868
KVNRLNFWIYMESJ-UHFFFAOYSA-N,n-butyronitrile,1246.9045146529352,53.032326894530996
UHOVQNZJYSORNB-UHFFFAOYSA-N,benzene,1764.787180616598,68.11970261229534
HGCIXCUEYOPUTN-UHFFFAOYSA-N,cyclohexene,2090.199821040993,69.88271396227547
XDTMQSROBMDMFD-UHFFFAOYSA-N,cyclohexane,2266.6752439242155,70.743782521398
FXHOOIRPVKKKFG-UHFFFAOYSA-N,"n,n-dimethylacetamide",1758.6033108897911,62.858339924967225
CURLTUGMZLYLDI-UHFFFAOYSA-N,carbon_dioxide,175.43853921881168,19.18542998492747
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,1-hexanol,2930.567784248751,80.05888270313206
KBPLFHHGFOOTCA-UHFFFAOYSA-N,1-octanol,4899.826866277787,103.63228136461669
MWKFXSUHUHTGQN-UHFFFAOYSA-N,1-decanol,7369.042895433876,127.17044674917074
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,dimethyl_sulfoxide,1179.5137448889102,53.03380379614791
QTBSBXVTEAMEQO-UHFFFAOYSA-N,acetic_acid,561.440480779399,34.90662306231457
IVSZLXZYQVIEFR-UHFFFAOYSA-N,m-xylene,3346.0540601381317,91.65431372762329
CTQNGGLPUBDAKN-UHFFFAOYSA-N,o-xylene,3346.84560419935,91.66589943059539
BGHCVCJVXZWKCC-UHFFFAOYSA-N,n-tetradecane,13028.813551886988,169.80945254777512
ZNQVEEAIQZEUHB-UHFFFAOYSA-N,2-ethoxyethanol,1761.0665150209124,61.505789769577575
YEYKMVJDLWJFOA-UHFFFAOYSA-N,ethylene_glycol_monopropyl_ether,2483.843922793733,73.19360671811506
POAOYUHQDCAZBD-UHFFFAOYSA-N,2-butoxyethanol,3338.8191236908847,85.00435811625782
JLGLQAWTXXGVEM-UHFFFAOYSA-N,2-(2-(2-methoxyethoxy)ethoxy)ethanol,5326.943285798846,106.65377133843835
LYCAIKOWRPUZTN-UHFFFAOYSA-N,ethylene_glycol,679.1445372773504,37.780265757008415
OTMSDBZUPAUEDD-UHFFFAOYSA-N,ethane,362.0293227111405,28.496781255476748
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,ethanol,505.66436163838284,33.056669652280206
OIFBSDVPJOWBCH-UHFFFAOYSA-N,diethyl_carbonate,2610.5254698722456,75.12724074013485
RUOJZAUFBMNUDX-VKHMYHEASA-N,propylene_carbonate,1611.0748054732471,58.61871184534754
DKPFZGUDAPQIHT-UHFFFAOYSA-N,n-butyl_acetate,3063.7032498895246,82.02226081174551
