label,cls,sigma_D,sigma_A,E_HB_kcal,c_hb
water->water,OH-OH,-0.014381730908242244,0.014815124163972855,-4.139593382256653,4858.770600343189
methanol->methanol,OH-OH,-0.012545219140946196,0.013766128094534546,-4.2525453341085475,6169.074429903665
water->methanol,OH-OH,-0.014381730908242244,0.013766128094534546,-4.474714104618134,5653.586172861525
methanol->water,OH-OH,-0.012545219140946196,0.014815124163972855,-4.563075754617746,6179.725920003372
ethanol->ethanol,OH-OH,-0.011919747133337434,0.013949803796234325,-3.76423942264155,5699.990192301067
water->acetone,OH-OT,-0.014381730908242244,0.012736547566859392,-3.93820555628441,5400.179333057946
water->dimethyl ether,OH-OT,-0.014381730908242244,0.01195473496404603,-3.83977869816544,5639.766143132091
water->acetonitrile,OH-OT,-0.014381730908242244,0.011568568145693795,-3.933472819510222,5984.737133610892
water->trimethylamine,OH-OT,-0.014381730908242244,0.014363000751546087,-5.406026082813499,6542.7746725455045
methanol->pyridine,OH-OT,-0.012545219140946196,0.013253007537565824,-5.283183993235832,7947.292953110159
water->THF,OH-OT,-0.014381730908242244,0.013242073901765095,-4.34736721013813,5717.982108834763
methylamine->water,OH-OT,-0.008226500760986457,0.014815124163972855,-1.9543555530952628,4680.766217230676
methylamine->methylamine,OT-OT,-0.008226500760986457,0.01620970228108596,-2.0300464506866596,4704.590570066833
dimethylamine->dimethylamine,OT-OT,-0.008511754228130242,0.014912964975202074,-1.793519105140812,4181.560321839724
NMA->NMA,OT-OT,-0.012384779591916197,0.014770086467877312,-5.011960427303553,6891.260112437772
formamide->acetone,OT-OT,-0.014244737721951216,0.012736547566859392,-5.9311148398892275,8185.451850169633
methylamine->acetonitrile,OT-OT,-0.008226500760986457,0.011568568145693795,-1.4677116642481343,4094.150913066738
