label,dHA_A,E_int_cp_kcal,E_def_kcal,E_disp_kcal,E_bind_kcal,n_atoms,xyz,donor_key,acceptor_key,donor_prof,acceptor_prof,method,basis,seconds
water->water,1.9337298179357985,-4.106472745046763,-0.03312063720988984,-0.5735393799840975,-4.71313276224075,6,"{""sym"": [""O"", ""H"", ""H"", ""O"", ""H"", ""H""], ""x"": [[0.0076, 3.2565, -0.0], [0.0955, 2.2958, 0.0], [0.8998, 3.6066, -0.0], [0.1774, 0.3638, -0.0], [-0.7517, 0.1227, 0.0], [0.6864, -0.4494, 0.0]]}",XLYOFNOQVPJJNP-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,OH,OH,b3lyp,def2-tzvp,18
methanol->methanol,1.9632197940952638,-4.307513131870182,0.05496779776163494,-1.1261856378381887,-5.3787309719467356,12,"{""sym"": [""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""], ""x"": [[1.1751, -3.4939, -2.2616], [2.2055, -2.7178, -1.7096], [0.5141, -3.899, -1.4864], [0.5712, -2.918, -2.9724], [1.6482, -4.3213, -2.7896], [1.8039, -1.9759, -1.2352], [-0.3649, 0.0165, -0.0031], [0.9143, -0.4998, -0.2949], [-0.5498, 0.0409, 1.0754], [-0.4926, 1.0234, -0.4128], [-1.0843, -0.6521, -0.4722], [1.5825, 0.0666, 0.1047]]}",OKKJLVBELUTLKV-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,OH,OH,b3lyp,def2-tzvp,98
water->methanol,1.9525038085841064,-4.427693755828578,-0.0470203487895565,-0.7312705450821332,-5.205984649700268,9,"{""sym"": [""O"", ""H"", ""H"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""], ""x"": [[2.2162, -2.7111, -1.668], [1.7503, -1.9575, -1.2855], [1.743, -3.4951, -1.3836], [-0.3622, 0.0122, 0.0016], [0.9179, -0.5165, -0.2642], [-0.564, 0.0465, 1.0773], [-0.4786, 1.0152, -0.4198], [-1.0795, -0.6557, -0.4719], [1.5883, 0.0756, 0.0933]]}",XLYOFNOQVPJJNP-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,OH,OH,b3lyp,def2-tzvp,50
methanol->water,1.8854629556987739,-4.659700547406433,0.09662479278868777,-0.8164838189458132,-5.379559573563559,9,"{""sym"": [""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""O"", ""H"", ""H""], ""x"": [[0.3399, 3.7362, 1.3206], [0.0959, 3.0653, 0.1131], [-0.4361, 3.5251, 2.0649], [1.3147, 3.468, 1.7438], [0.3374, 4.8029, 1.0989], [0.0715, 2.1102, 0.292], [0.0024, 0.2267, 0.2399], [-0.7962, 0.0075, -0.2456], [0.7484, -0.0228, -0.3099]]}",OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,OH,OH,b3lyp,def2-tzvp,47
ethanol->ethanol,1.9551698924786471,-3.8479847896677724,0.08374536702622207,-1.8196434690641536,-5.583882891705704,18,"{""sym"": [""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""], ""x"": [[1.7267, -1.1062, 3.9987], [3.152, -0.9099, 3.4897], [3.3228, 0.3174, 2.828], [1.0294, -1.0972, 3.1628], [1.6418, -2.0559, 4.5203], [1.4594, -0.3025, 4.6809], [3.4237, -1.7441, 2.8242], [3.8546, -0.8984, 4.3274], [2.6928, 0.3458, 2.0919], [-0.9018, 0.1754, -0.0293], [0.4678, -0.4928, -0.0412], [1.4614, 0.3005, 0.5739], [-0.8735, 1.1104, -0.5879], [-1.637, -0.4807, -0.4867], [-1.2083, 0.3903, 0.9922], [0.7616, -0.7317, -1.0732], [0.4433, -1.4228, 0.5316], [1.4932, 1.1568, 0.1323]]}",LFQSCWFLJHTTHZ-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,OH,OH,b3lyp,def2-tzvp,235
water->acetone,2.0125214320553506,-3.8786976996749063,-0.05950785660950323,-0.7215448279011177,-4.659750384185528,13,"{""sym"": [""O"", ""H"", ""H"", ""C"", ""C"", ""O"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""], ""x"": [[0.5384, 1.2049, -4.627], [0.3198, 1.0494, -3.7011], [1.2093, 0.5576, -4.8515], [-1.243, 0.2421, 0.0723], [0.084, 0.135, -0.6306], [0.2272, 0.3965, -1.7997], [1.223, -0.3268, 0.2389], [-2.0039, 0.603, -0.6142], [-1.1592, 0.9242, 0.9156], [-1.5353, -0.7326, 0.4584], [1.0089, -1.3195, 0.6287], [2.148, -0.3545, -0.3304], [1.3369, 0.3481, 1.0837]]}",XLYOFNOQVPJJNP-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,OH,OT,b3lyp,def2-tzvp,111
water->dimethyl ether,1.9602706654537043,-3.807931474879263,-0.031847223286177284,-1.0147225057894103,-4.85450120395485,12,"{""sym"": [""O"", ""H"", ""H"", ""C"", ""O"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""], ""x"": [[-0.1394, 3.7358, -0.4677], [-0.2027, 2.7743, -0.4133], [0.796, 3.9401, -0.5187], [-1.1499, 0.0324, -0.4068], [0.008, 0.8275, -0.3236], [1.1812, 0.074, -0.1415], [-1.9885, 0.7128, -0.5365], [-1.0965, -0.6526, -1.2615], [-1.2909, -0.554, 0.5091], [1.1347, -0.512, 0.7843], [2.0047, 0.7825, -0.0802], [1.3479, -0.608, -0.9839]]}",XLYOFNOQVPJJNP-UHFFFAOYSA-N,LCGLNKUTAGEVQW-UHFFFAOYSA-N,OH,OT,b3lyp,def2-tzvp,67
water->acetonitrile,1.9844903800631377,-3.927983080337658,-0.005489739172564408,-0.7507274980971624,-4.6842003176073845,9,"{""sym"": [""O"", ""H"", ""H"", ""C"", ""C"", ""N"", ""H"", ""H"", ""H""], ""x"": [[5.038, -0.0788, 0.0915], [4.0821, 0.057, 0.0749], [5.1685, -1.0286, 0.0884], [-0.4652, 0.0067, -0.0085], [0.9656, -0.0708, 0.0171], [2.1069, -0.1313, 0.0377], [-0.8472, 0.0169, 1.0118], [-0.77, 0.9198, -0.5188], [-0.8678, -0.8564, -0.5378]]}",XLYOFNOQVPJJNP-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,OH,OT,b3lyp,def2-tzvp,44
water->trimethylamine,1.8812848169619278,-5.479545281865237,0.07351919905173886,-1.7635954094522543,-7.169621492265753,16,"{""sym"": [""O"", ""H"", ""H"", ""C"", ""N"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""], ""x"": [[-0.0769, -0.3352, -3.3296], [-0.0879, -0.188, -2.3671], [0.4285, -1.1368, -3.4731], [-1.2699, -0.5481, 0.0245], [-0.0043, -0.0619, -0.4919], [1.1083, -0.8411, 0.017], [0.1703, 1.3507, -0.21], [-2.0797, 0.0255, -0.423], [-1.3383, -0.4628, 1.1191], [-1.3915, -1.5945, -0.2518], [0.968, -1.8867, -0.2547], [2.0318, -0.4825, -0.4357], [1.205, -0.7743, 1.1109], [0.2007, 1.5629, 0.869], [1.1008, 1.6925, -0.6603], [-0.654, 1.9062, -0.6538]]}",XLYOFNOQVPJJNP-UHFFFAOYSA-N,GETQZCLCWQTVFV-UHFFFAOYSA-N,OH,OT,b3lyp,def2-tzvp,127
methanol->pyridine,1.8783319477228044,-5.4821243874962695,0.19894039426043741,-2.1682428799572624,-7.451426873193094,17,"{""sym"": [""C"", ""O"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H""], ""x"": [[-1.6403, -4.7444, 0.1588], [-0.2938, -4.4633, -0.1045], [-1.9518, -4.3623, 1.1388], [-2.3012, -4.3235, -0.6092], [-1.7511, -5.8288, 0.1563], [-0.1777, -3.4935, -0.0986], [0.0835, 1.1372, 0.0221], [1.2027, 0.3196, 0.0269], [1.0137, -1.0534, 0.0045], [-0.1832, -1.6168, -0.0209], [-1.2488, -0.8334, -0.0231], [-1.1717, 0.5503, -0.0016], [0.1876, 2.2122, 0.0363], [2.1974, 0.7361, 0.0476], [1.8504, -1.739, 0.0063], [-2.2041, -1.3415, -0.0432], [-2.0689, 1.1488, -0.0032]]}",OKKJLVBELUTLKV-UHFFFAOYSA-N,JUJWROOIHBZHMG-UHFFFAOYSA-N,OH,OT,b3lyp,def2-tzvp,245
